Asset class,Asset class URI,Instrument count
Ordinary Shares,https://permid.org/1-300281,202792
Rights,https://permid.org/1-300413,17845
Fully Paid Ordinary Shares,https://permid.org/1-302539,10348
American Depository Receipts,https://permid.org/1-300016,4758
Units,https://permid.org/1-302043,4397
Depository Receipts,https://permid.org/1-300089,3948
Deferred Shares,https://permid.org/1-302364,2827
Subscription Rights,https://permid.org/1-300295,1611
Company Options,https://permid.org/1-302117,1360
Global Depository Receipts,https://permid.org/1-300136,1322
Thai Non-Voting Depository Receipts,https://permid.org/1-302543,734
Paid Subscription Rights,https://permid.org/1-302547,720
Participation Shares,https://permid.org/1-302035,515
Argentinian Depository Receipts,https://permid.org/1-302542,296
Option Rights,https://permid.org/1-302545,251
Genussscheine,https://permid.org/1-302113,237
Brazilian Depository Receipts,https://permid.org/1-302366,160
CHESS Depository Interests,https://permid.org/1-302106,140
Equities,https://permid.org/1-300100,123
Stock Dividends,https://permid.org/1-302538,111
Stapled Securities,https://permid.org/1-302370,99
Peruvian Investment Shares,https://permid.org/1-302365,70
Partly Paid Ordinary Shares,https://permid.org/1-302540,48
Swedish Depository Receipts,https://permid.org/1-302544,22
International Depository Receipts,https://permid.org/1-300152,8
European Depository Receipts,https://permid.org/1-300106,7
Nil Paid Ordinary Shares,https://permid.org/1-302541,5
Philippine Depository Receipts,https://permid.org/1-303220,2
Indian Depository Receipts,https://permid.org/1-302110,2
Chinese Depository Receipts,https://permid.org/1-302107,1
Income Deposit Securities,https://permid.org/1-303307,1
Growth Units,https://permid.org/1-302548,1
