Predicate,Count
hasPermId,12906804
type,12906804
hasPublicationStatus,9939457
hasHolder,5607671
from,4467707
family-name,4381660
given-name,4381660
to,3716982
isTenureIn,2960018
fromInstitutionName,2910139
hasPositionType,2647657
isPositionIn,2647652
hasReportedTitle,2647651
holdsPosition,2630179
hasQualification,2624249
hasTenureInOrganization,2250920
withDegree,2134750
hasGender,2066081
additional-name,1964942
honorific-prefix,1391376
inSubject,897483
bday,526442
honorific-suffix,184839
preferred-name,65097
prefLabel,7289
date-of-death,3348
rank,97
